severity,type,status,file,line,rule,message,impacts
MINOR,CODE_SMELL,FIXED,apps/backend/src/middlewares/requestId.ts,2.0,typescript:S7772,Prefer `node:crypto` over `crypto`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/routes/healthRoutes.ts,16.0,typescript:S7772,Prefer `node:os` over `os`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/gracefulShutdown.ts,1.0,typescript:S7772,Prefer `node:http` over `http`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/routes/commitRoutes.ts,195.0,typescript:S7773,Prefer `Number.parseInt` over `parseInt`.,"[{'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/routes/commitRoutes.ts,196.0,typescript:S7773,Prefer `Number.parseInt` over `parseInt`.,"[{'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,1442.0,typescript:S7728,Use `for…of` instead of `.forEach(…)`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,1454.0,typescript:S7728,Use `for…of` instead of `.forEach(…)`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/frontend/src/components/ActivityHeatmap.tsx,122.0,typescript:S7728,Use `for…of` instead of `.forEach(…)`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/frontend/src/pages/MainPage.tsx,107.0,typescript:S7735,Unexpected negated condition.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/middlewares/memoryPressureMiddleware.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/middlewares/memoryPressureMiddleware.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/middlewares/memoryPressureMiddleware.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/config.ts,652.0,typescript:S7728,Use `for…of` instead of `.forEach(…)`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/config.ts,658.0,typescript:S7728,Use `for…of` instead of `.forEach(…)`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,2177.0,typescript:S7773,Prefer `Number.isNaN` over `isNaN`.,"[{'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/hybridLruCache.ts,965.0,typescript:S7718,The catch parameter `syncErr` should be named `error_`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/cache.ts,360.0,typescript:S7728,Use `for…of` instead of `.forEach(…)`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/cache.ts,404.0,typescript:S7728,Use `for…of` instead of `.forEach(…)`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/cache.ts,10.0,typescript:S7772,Prefer `node:path` over `path`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/cache.ts,11.0,typescript:S7772,Prefer `node:os` over `os`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MAJOR,CODE_SMELL,FIXED,apps/backend/src/services/cache.ts,122.0,typescript:S7785,Prefer top-level await over an async function `initHybridCache` call.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MAJOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,2529.0,typescript:S7785,Prefer top-level await over using a promise chain.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/hybridLruCache.ts,245.0,typescript:S7728,Use `for…of` instead of `.forEach(…)`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
INFO,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1547.0,typescript:S1135,"Complete the task associated to this ""TODO"" comment.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'INFO'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/logger.ts,4.0,typescript:S7772,Prefer `node:crypto` over `crypto`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/hybridLruCache.ts,3.0,typescript:S7772,Prefer `node:crypto` over `crypto`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/logger.ts,89.0,typescript:S7773,Prefer `Number.parseInt` over `parseInt`.,"[{'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/index.ts,76.0,typescript:S7772,Prefer `node:fs` over `fs`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/index.ts,77.0,typescript:S7772,Prefer `node:fs/promises` over `fs/promises`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,159.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,159.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/hybridLruCache.ts,1046.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/hybridLruCache.ts,916.0,typescript:S7718,The catch parameter `syncErr` should be named `error_`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/serializationWorker.ts,1.0,typescript:S7772,Prefer `node:worker_threads` over `worker_threads`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/serializationWorker.ts,2.0,typescript:S7772,Prefer `node:os` over `os`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/hybridLruCache.ts,721.0,typescript:S7718,The catch parameter `parseErr` should be named `error_`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/hybridLruCache.ts,1088.0,typescript:S7718,The catch parameter `unlinkErr` should be named `error_`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,488.0,typescript:S4323,Replace this union type with a type alias.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,175.0,typescript:S4323,Replace this union type with a type alias.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,2349.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,2350.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,2370.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,2482.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,2483.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,2503.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,559.0,typescript:S7735,Unexpected negated condition.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,2.0,typescript:S7772,Prefer `node:os` over `os`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,508.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,508.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,509.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,620.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,620.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,621.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,630.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,630.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/utils/memoryPressureManager.ts,636.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1123.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1124.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1144.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1278.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1279.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1299.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1649.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1650.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1670.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,1.0,typescript:S7772,Prefer `node:fs/promises` over `fs/promises`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,2.0,typescript:S7772,Prefer `node:path` over `path`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,3.0,typescript:S7772,Prefer `node:os` over `os`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,444.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,454.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1054.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1054.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1055.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1055.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1056.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1056.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1061.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/metrics.ts,1063.0,typescript:S7748,Don't use a zero fraction in the number.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,798.0,typescript:S7735,Unexpected negated condition.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MAJOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1768.0,typescript:S4623,"Remove this redundant ""undefined"".","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCoordinator.ts,3.0,typescript:S7772,Prefer `node:fs/promises` over `fs/promises`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/index.ts,55.0,typescript:S7773,Prefer `Number.isNaN` over `isNaN`.,"[{'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/index.ts,91.0,typescript:S7772,Prefer `node:net` over `net`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MAJOR,CODE_SMELL,FIXED,apps/backend/src/index.ts,496.0,typescript:S7785,Prefer top-level await over using a promise chain.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/logger.ts,5.0,typescript:S7772,Prefer `node:path` over `path`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/logger.ts,6.0,typescript:S7772,Prefer `node:fs` over `fs`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/logger.ts,83.0,typescript:S7773,Prefer `Number.parseInt` over `parseInt`.,"[{'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/logger.ts,134.0,typescript:S7778,Do not call `Array#push()` multiple times.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,20.0,typescript:S7772,Prefer `node:crypto` over `crypto`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,1606.0,typescript:S7735,Unexpected negated condition.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/repositoryCache.ts,,typescript:S6606,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.","[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,118.0,typescript:S7773,Prefer `Number.parseInt` over `parseInt`.,"[{'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,120.0,typescript:S7773,Prefer `Number.isNaN` over `isNaN`.,"[{'softwareQuality': 'RELIABILITY', 'severity': 'MEDIUM'}, {'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,121.0,typescript:S7786,`new Error()` is too unspecific for a type check. Use `new TypeError()` instead.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,405.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
MINOR,CODE_SMELL,FIXED,apps/backend/src/services/gitService.ts,405.0,typescript:S7764,Prefer `globalThis` over `global`.,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]"
